,sample_pt_desc,year,qtr,quarter,cod,conductivity,e_coli,pH,nitrate,phosphate,physical_compliance_percentage,chemical_compliance_percentage,bacteriological_compliance_percentage,biological_compliance_percentage,overall_compliance_percentage,river_id
0,Klip River @ Lido Hotel ,2013,1,Jan-Mar,0.0,53.0,0.0,7.3,3.26,0.3,60.0,100.0,0.0,0.0,40.0,3
1,Klip River @ Lido Hotel ,2013,2,Apr-Jun,0.0,54.0,0.0,7.2,3.9,0.43,60.0,100.0,0.0,0.0,40.0,3
2,Klip River @ Lido Hotel ,2013,3,Jul-Sep,0.0,55.0,0.0,7.4,3.5,0.3,60.0,100.0,0.0,0.0,40.0,3
3,Klip River @ Lido Hotel ,2013,4,Oct-Dec,0.0,56.0,0.0,7.4,2.4,0.74,40.0,90.91,0.0,0.0,32.73,3
4,Klip River @ Everite ,2013,1,Jan-Mar,0.0,53.0,0.0,7.3,3.22,0.4,60.0,100.0,0.0,0.0,40.0,3
5,Klip River @ Everite ,2013,2,Apr-Jun,0.0,55.0,0.0,7.2,3.9,0.39,60.0,100.0,0.0,0.0,40.0,3
6,Klip River @ Everite ,2013,3,Jul-Sep,0.0,55.0,0.0,7.6,3.2,0.33,60.0,100.0,0.0,0.0,40.0,3
7,Klip River @ Everite ,2013,4,Oct-Dec,0.0,57.0,0.0,7.5,2.8,0.69,60.0,90.91,0.0,0.0,37.73,3
8,Klip River from Roodepoort @ R41 Bridge,2013,1,Jan-Mar,0.0,51.0,0.0,6.9,0.38,0.06,60.0,100.0,0.0,0.0,40.0,3
9,Klip River from Roodepoort @ R41 Bridge,2013,2,Apr-Jun,0.0,36.0,0.0,7.0,0.8,0.05,60.0,100.0,0.0,0.0,40.0,3
10,Klip River from Roodepoort @ R41 Bridge,2013,3,Jul-Sep,0.0,31.0,0.0,7.2,1.1,0.08,60.0,100.0,0.0,0.0,40.0,3
11,Klip River from Roodepoort @ R41 Bridge,2013,4,Oct-Dec,0.0,34.0,0.0,7.2,0.53,0.22,60.0,100.0,0.0,0.0,40.0,3
12,Klip River from Witpoortjie @ R41 Bridge,2013,1,Jan-Mar,0.0,23.0,0.0,7.1,0.44,0.07,60.0,100.0,0.0,0.0,40.0,3
13,Klip River from Witpoortjie @ R41 Bridge,2013,2,Apr-Jun,0.0,20.0,0.0,7.0,1.2,0.05,60.0,100.0,0.0,0.0,40.0,3
14,Klip River from Witpoortjie @ R41 Bridge,2013,3,Jul-Sep,0.0,20.0,0.0,7.0,1.4,0.08,60.0,100.0,0.0,0.0,40.0,3
15,Klip River from Witpoortjie @ R41 Bridge,2013,4,Oct-Dec,0.0,26.0,0.0,7.1,1.4,0.22,60.0,100.0,0.0,0.0,40.0,3
16,Klip River Weir @ Henley-On- Klip,2013,1,Jan-Mar,0.0,59.0,1680.0,7.3,3.1,0.48,60.0,100.0,0.0,0.0,40.0,3
17,Klip River Weir @ Henley-On- Klip,2013,2,Apr-Jun,0.0,55.0,1640.0,7.4,4.3,0.29,60.0,100.0,0.0,0.0,40.0,3
18,Klip River Weir @ Henley-On- Klip,2013,3,Jul-Sep,0.0,65.0,3540.0,7.5,4.8,0.32,60.0,100.0,0.0,0.0,40.0,3
19,Klip River Weir @ Henley-On- Klip,2013,4,Oct-Dec,0.0,64.0,12540.0,7.4,2.9,0.52,40.0,100.0,0.0,0.0,35.0,3
20,Klip River Weir @ Zwartkopjes Farm,2013,1,Jan-Mar,22.0,54.0,6680.0,7.2,3.07,0.33,100.0,100.0,0.0,100.0,75.0,3
21,Klip River Weir @ Zwartkopjes Farm,2013,2,Apr-Jun,16.0,50.0,7580.0,7.3,3.8,0.31,100.0,100.0,0.0,100.0,75.0,3
22,Klip River Weir @ Zwartkopjes Farm,2013,3,Jul-Sep,22.0,54.0,14390.0,7.5,3.4,0.38,100.0,100.0,0.0,100.0,75.0,3
23,Klip River Weir @ Zwartkopjes Farm,2013,4,Oct-Dec,23.0,57.0,65700.0,7.3,2.9,0.66,80.0,90.91,0.0,100.0,67.73,3
24,Klip River downstream of Rietspruit Confluence,2013,1,Jan-Mar,0.0,61.0,5920.0,7.3,3.1,0.35,60.0,100.0,0.0,0.0,40.0,3
25,Klip River downstream of Rietspruit Confluence,2013,2,Apr-Jun,0.0,60.0,13000.0,7.4,3.6,0.3,60.0,100.0,0.0,0.0,40.0,3
26,Klip River downstream of Rietspruit Confluence,2013,3,Jul-Sep,0.0,64.0,6780.0,7.5,4.1,0.31,60.0,100.0,0.0,0.0,40.0,3
27,Klip River downstream of Rietspruit Confluence,2013,4,Oct-Dec,0.0,65.0,31250.0,7.5,3.4,0.55,40.0,100.0,0.0,0.0,35.0,3
28,Harringtonspruit @ Nancefield Industrial Area,2013,1,Jan-Mar,0.0,43.0,0.0,7.3,2.46,0.41,60.0,100.0,0.0,0.0,40.0,3
29,Harringtonspruit @ Nancefield Industrial Area,2013,2,Apr-Jun,0.0,52.0,0.0,7.3,3.0,0.65,60.0,90.91,0.0,0.0,37.73,3
30,Harringtonspruit @ Nancefield Industrial Area,2013,3,Jul-Sep,0.0,54.0,0.0,7.5,2.2,0.59,60.0,100.0,0.0,0.0,40.0,3
31,Harringtonspruit @ Nancefield Industrial Area,2013,4,Oct-Dec,0.0,54.0,0.0,7.5,1.6,0.59,60.0,100.0,0.0,0.0,40.0,3
32,Klip River @ Olifantsvlei Sewage Works,2013,1,Jan-Mar,0.0,49.0,740.0,7.3,2.18,0.28,60.0,100.0,0.0,0.0,40.0,3
