sample_pt_desc,latitude,longitude,sample_id,year,quarter,cod,conductivity,e_coli,pH,nitrate,phosphate,physical_compliance_percentage,chemical_compliance_percentage,bacteriological_compliance_percentage,biological_compliance_percentage,overall_compliance_percentage,river
Klip River @ Lido Hotel ,-26.326,27.988,K1,2013,Jan-Mar,,53.0,,7.3,3.26,0.3,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Lido Hotel ,-26.326,27.988,K1,2013,Apr-Jun,,54.0,,7.2,3.9,0.43,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Lido Hotel ,-26.326,27.988,K1,2013,Jul-Sep,,55.0,,7.4,3.5,0.3,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Lido Hotel ,-26.326,27.988,K1,2013,Oct-Dec,,56.0,,7.4,2.4,0.74,40.0,90.91,0.0,0.0,32.73,Klip
Klip River @ Everite ,-26.421,28.095,K10,2013,Jan-Mar,,53.0,,7.3,3.22,0.4,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Everite ,-26.421,28.095,K10,2013,Apr-Jun,,55.0,,7.2,3.9,0.39,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Everite ,-26.421,28.095,K10,2013,Jul-Sep,,55.0,,7.6,3.2,0.33,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Everite ,-26.421,28.095,K10,2013,Oct-Dec,,57.0,,7.5,2.8,0.69,60.0,90.91,0.0,0.0,37.73,Klip
Klip River from Roodepoort @ R41 Bridge,-26.169,27.833,K11,2013,Jan-Mar,,51.0,,6.9,0.38,0.06,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Roodepoort @ R41 Bridge,-26.169,27.833,K11,2013,Apr-Jun,,36.0,,7.0,0.8,0.05,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Roodepoort @ R41 Bridge,-26.169,27.833,K11,2013,Jul-Sep,,31.0,,7.2,1.1,0.08,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Roodepoort @ R41 Bridge,-26.169,27.833,K11,2013,Oct-Dec,,34.0,,7.2,0.53,0.22,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Witpoortjie @ R41 Bridge,-26.176,27.818,K14,2013,Jan-Mar,,23.0,,7.1,0.44,0.07,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Witpoortjie @ R41 Bridge,-26.176,27.818,K14,2013,Apr-Jun,,20.0,,7.0,1.2,0.05,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Witpoortjie @ R41 Bridge,-26.176,27.818,K14,2013,Jul-Sep,,20.0,,7.0,1.4,0.08,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Witpoortjie @ R41 Bridge,-26.176,27.818,K14,2013,Oct-Dec,,26.0,,7.1,1.4,0.22,60.0,100.0,0.0,0.0,40.0,Klip
Klip River Weir @ Henley-On- Klip,-26.549,28.064,K18,2013,Jan-Mar,,59.0,1680.0,7.3,3.1,0.48,60.0,100.0,0.0,0.0,40.0,Klip
Klip River Weir @ Henley-On- Klip,-26.549,28.064,K18,2013,Apr-Jun,,55.0,1640.0,7.4,4.3,0.29,60.0,100.0,0.0,0.0,40.0,Klip
Klip River Weir @ Henley-On- Klip,-26.549,28.064,K18,2013,Jul-Sep,,65.0,3540.0,7.5,4.8,0.32,60.0,100.0,0.0,0.0,40.0,Klip
Klip River Weir @ Henley-On- Klip,-26.549,28.064,K18,2013,Oct-Dec,,64.0,12540.0,7.4,2.9,0.52,40.0,100.0,0.0,0.0,35.0,Klip
Klip River Weir @ Zwartkopjes Farm,-26.38,28.071,K21,2013,Jan-Mar,22.0,54.0,6680.0,7.2,3.07,0.33,100.0,100.0,0.0,100.0,75.0,Klip
Klip River Weir @ Zwartkopjes Farm,-26.38,28.071,K21,2013,Apr-Jun,16.0,50.0,7580.0,7.3,3.8,0.31,100.0,100.0,0.0,100.0,75.0,Klip
Klip River Weir @ Zwartkopjes Farm,-26.38,28.071,K21,2013,Jul-Sep,22.0,54.0,14390.0,7.5,3.4,0.38,100.0,100.0,0.0,100.0,75.0,Klip
Klip River Weir @ Zwartkopjes Farm,-26.38,28.071,K21,2013,Oct-Dec,23.0,57.0,65700.0,7.3,2.9,0.66,80.0,90.91,0.0,100.0,67.73,Klip
Klip River downstream of Rietspruit Confluence,-26.454,28.085,K25,2013,Jan-Mar,,61.0,5920.0,7.3,3.1,0.35,60.0,100.0,0.0,0.0,40.0,Klip
Klip River downstream of Rietspruit Confluence,-26.454,28.085,K25,2013,Apr-Jun,,60.0,13000.0,7.4,3.6,0.3,60.0,100.0,0.0,0.0,40.0,Klip
Klip River downstream of Rietspruit Confluence,-26.454,28.085,K25,2013,Jul-Sep,,64.0,6780.0,7.5,4.1,0.31,60.0,100.0,0.0,0.0,40.0,Klip
Klip River downstream of Rietspruit Confluence,-26.454,28.085,K25,2013,Oct-Dec,,65.0,31250.0,7.5,3.4,0.55,40.0,100.0,0.0,0.0,35.0,Klip
Harringtonspruit @ Nancefield Industrial Area,-26.31,27.912,K3,2013,Jan-Mar,,43.0,,7.3,2.46,0.41,60.0,100.0,0.0,0.0,40.0,Klip
