sample_id,year,qtr,quarter,e_coli,compliance_%
B1,2013,1,Jan-Mar,0.0,0.0
B1,2013,2,Apr-Jun,0.0,0.0
B1,2013,3,Jul-Sep,0.0,0.0
B1,2013,4,Oct-Dec,0.0,0.0
B2,2013,1,Jan-Mar,0.0,0.0
B2,2013,2,Apr-Jun,0.0,0.0
B2,2013,3,Jul-Sep,0.0,0.0
B2,2013,4,Oct-Dec,0.0,0.0
B3,2013,1,Jan-Mar,0.0,0.0
B3,2013,2,Apr-Jun,0.0,0.0
B3,2013,3,Jul-Sep,0.0,0.0
B3,2013,4,Oct-Dec,0.0,0.0
B4,2013,1,Jan-Mar,0.0,0.0
B4,2013,2,Apr-Jun,0.0,0.0
B4,2013,3,Jul-Sep,0.0,0.0
B4,2013,4,Oct-Dec,0.0,0.0
B9,2013,1,Jan-Mar,50.0,100.0
B9,2013,2,Apr-Jun,32.0,100.0
B9,2013,3,Jul-Sep,32.0,100.0
B9,2013,4,Oct-Dec,105.0,100.0
B13,2013,1,Jan-Mar,12720.0,0.0
B13,2013,2,Apr-Jun,451540.0,0.0
B13,2013,3,Jul-Sep,12080.0,0.0
B13,2013,4,Oct-Dec,7760.0,0.0
B5,2013,1,Jan-Mar,0.0,0.0
B5,2013,2,Apr-Jun,0.0,0.0
B5,2013,3,Jul-Sep,0.0,0.0
B5,2013,4,Oct-Dec,0.0,0.0
B16,2013,1,Jan-Mar,0.0,0.0
B16,2013,2,Apr-Jun,0.0,0.0
B16,2013,3,Jul-Sep,0.0,0.0
B16,2013,4,Oct-Dec,0.0,0.0
B6,2013,1,Jan-Mar,0.0,0.0
B6,2013,2,Apr-Jun,0.0,0.0
B6,2013,3,Jul-Sep,0.0,0.0
B6,2013,4,Oct-Dec,0.0,0.0
B15,2013,1,Jan-Mar,0.0,0.0
B15,2013,2,Apr-Jun,0.0,0.0
B15,2013,3,Jul-Sep,0.0,0.0
B15,2013,4,Oct-Dec,0.0,0.0
B17,2013,1,Jan-Mar,0.0,0.0
B17,2013,2,Apr-Jun,0.0,0.0
B17,2013,3,Jul-Sep,0.0,0.0
B17,2013,4,Oct-Dec,0.0,0.0
B11,2013,1,Jan-Mar,0.0,0.0
B11,2013,2,Apr-Jun,0.0,0.0
B11,2013,3,Jul-Sep,0.0,0.0
B11,2013,4,Oct-Dec,0.0,0.0
B7,2013,1,Jan-Mar,0.0,0.0
B7,2013,2,Apr-Jun,0.0,0.0
B7,2013,3,Jul-Sep,0.0,0.0
B7,2013,4,Oct-Dec,0.0,0.0
B8,2013,1,Jan-Mar,590.0,0.0
B8,2013,2,Apr-Jun,5630.0,0.0
B8,2013,3,Jul-Sep,4740.0,0.0
B8,2013,4,Oct-Dec,7210.0,0.0
B14,2013,1,Jan-Mar,0.0,0.0
B14,2013,2,Apr-Jun,0.0,0.0
B14,2013,3,Jul-Sep,0.0,0.0
B14,2013,4,Oct-Dec,0.0,0.0
B12,2013,1,Jan-Mar,0.0,0.0
B12,2013,2,Apr-Jun,0.0,0.0
B12,2013,3,Jul-Sep,0.0,0.0
B12,2013,4,Oct-Dec,0.0,0.0
B10,2013,1,Jan-Mar,3770.0,0.0
B10,2013,2,Apr-Jun,2330.0,0.0
B10,2013,3,Jul-Sep,405.0,0.0
B10,2013,4,Oct-Dec,2980.0,0.0
S1,2013,1,Jan-Mar,450.0,0.0
S1,2013,2,Apr-Jun,185.0,100.0
S1,2013,3,Jul-Sep,64.0,100.0
S1,2013,4,Oct-Dec,500.0,0.0
S2,2013,1,Jan-Mar,1330.0,0.0
S2,2013,2,Apr-Jun,1460.0,0.0
S2,2013,3,Jul-Sep,83.0,100.0
S2,2013,4,Oct-Dec,1840.0,0.0
B1,2014,1,Jan-Mar,0.0,0.0
B1,2014,2,Apr-Jun,0.0,0.0
B1,2014,3,Jul-Sep,0.0,0.0
B1,2014,4,Oct-Dec,0.0,0.0
B2,2014,1,Jan-Mar,0.0,0.0
B2,2014,2,Apr-Jun,0.0,0.0
B2,2014,3,Jul-Sep,0.0,0.0
B2,2014,4,Oct-Dec,0.0,0.0
B3,2014,1,Jan-Mar,0.0,0.0
B3,2014,2,Apr-Jun,0.0,0.0
B3,2014,3,Jul-Sep,0.0,0.0
B3,2014,4,Oct-Dec,0.0,0.0
