sample_id,year,qtr,quarter,aluminium,ammonium,chloride,fluoride,iron,magnesium,manganese,nitrate,phosphate,sodium,sulphate,compliance_%
B1,2013,1,Jan-Mar,0.01,0.11,27.0,0.28,0.01,12.0,0.04,0.21,0.06,26.0,40,100.0
B1,2013,2,Apr-Jun,0.01,0.1,29.0,0.34,0.02,10.0,0.04,0.35,0.18,23.0,49,100.0
B1,2013,3,Jul-Sep,0.01,0.14,54.0,0.3,0.07,13.0,0.16,0.93,0.34,49.0,90,100.0
B1,2013,4,Oct-Dec,0.01,0.19,39.0,0.35,0.04,13.0,0.12,0.17,0.35,46.0,52,100.0
B2,2013,1,Jan-Mar,0.01,2.2,67.0,0.22,0.01,11.0,0.05,0.37,0.45,39.0,38,100.0
B2,2013,2,Apr-Jun,0.01,4.8,51.0,0.3,0.03,10.0,0.03,0.74,0.15,43.0,49,100.0
B2,2013,3,Jul-Sep,0.01,3.5,70.0,0.23,0.11,9.0,0.04,2.4,0.17,49.0,48,100.0
B2,2013,4,Oct-Dec,0.01,6.3,53.0,0.3,0.05,9.0,0.05,0.53,0.79,40.0,37,81.82
B3,2013,1,Jan-Mar,0.02,2.5,84.0,0.16,0.04,14.0,0.13,1.2,0.35,67.0,66,100.0
B3,2013,2,Apr-Jun,0.01,0.9,77.0,0.09,0.02,11.0,0.06,4.4,0.1,61.0,82,100.0
B3,2013,3,Jul-Sep,0.01,3.2,85.0,0.12,0.09,13.0,0.17,3.9,0.14,69.0,87,100.0
B3,2013,4,Oct-Dec,0.01,3.1,85.0,0.15,0.04,12.0,0.18,1.9,0.24,67.0,77,100.0
B4,2013,1,Jan-Mar,0.01,0.11,37.0,0.32,0.01,10.0,0.14,0.28,0.06,29.0,41,100.0
B4,2013,2,Apr-Jun,0.02,0.1,43.0,0.33,0.02,10.0,0.06,0.57,0.09,30.0,61,100.0
B4,2013,3,Jul-Sep,0.02,0.2,61.0,0.27,0.07,11.0,0.04,1.4,0.09,47.0,60,100.0
B4,2013,4,Oct-Dec,0.01,0.32,54.0,0.35,0.03,11.0,0.05,0.47,0.42,48.0,53,100.0
B9,2013,1,Jan-Mar,0.11,0.11,45.0,0.32,0.01,13.0,0.04,1.5,0.05,41.0,82,100.0
B9,2013,2,Apr-Jun,0.03,0.23,51.0,0.32,0.04,12.0,0.07,0.46,0.05,41.0,100,100.0
B9,2013,3,Jul-Sep,0.02,0.47,70.0,0.23,0.07,16.0,0.1,1.7,0.07,61.0,145,100.0
B9,2013,4,Oct-Dec,0.06,0.76,77.0,0.35,0.05,19.0,0.23,1.6,0.21,70.0,155,100.0
