sample_id,year,qtr,quarter,conductivity,dissolved_o2,ph,suspended_solids,cod,compliance_%
K1,2013,1,Jan-Mar,53.0,5.7,7.3,0,0.0,60.0
K1,2013,2,Apr-Jun,54.0,5.5,7.2,0,0.0,60.0
K1,2013,3,Jul-Sep,55.0,5.2,7.4,0,0.0,60.0
K1,2013,4,Oct-Dec,56.0,4.2,7.4,0,0.0,40.0
K10,2013,1,Jan-Mar,53.0,5.9,7.3,0,0.0,60.0
K10,2013,2,Apr-Jun,55.0,5.6,7.2,0,0.0,60.0
K10,2013,3,Jul-Sep,55.0,6.7,7.6,0,0.0,60.0
K10,2013,4,Oct-Dec,57.0,5.5,7.5,0,0.0,60.0
K11,2013,1,Jan-Mar,51.0,7.5,6.9,0,0.0,60.0
K11,2013,2,Apr-Jun,36.0,7.1,7.0,0,0.0,60.0
K11,2013,3,Jul-Sep,31.0,7.0,7.2,0,0.0,60.0
K11,2013,4,Oct-Dec,34.0,5.8,7.2,0,0.0,60.0
K14,2013,1,Jan-Mar,23.0,6.8,7.1,0,0.0,60.0
K14,2013,2,Apr-Jun,20.0,6.9,7.0,0,0.0,60.0
K14,2013,3,Jul-Sep,20.0,5.7,7.0,0,0.0,60.0
K14,2013,4,Oct-Dec,26.0,6.3,7.1,0,0.0,60.0
K18,2013,1,Jan-Mar,59.0,5.0,7.3,0,0.0,60.0
K18,2013,2,Apr-Jun,55.0,6.3,7.4,0,0.0,60.0
K18,2013,3,Jul-Sep,65.0,5.7,7.5,0,0.0,60.0
K18,2013,4,Oct-Dec,64.0,3.9,7.4,0,0.0,40.0
K19,2013,1,Jan-Mar,60.0,7.8,7.4,55,24.0,100.0
K19,2013,2,Apr-Jun,61.0,6.8,7.3,63,18.0,80.0
K19,2013,3,Jul-Sep,64.0,5.9,7.6,34,25.0,100.0
K19,2013,4,Oct-Dec,66.0,4.3,7.5,62,27.0,60.0
K21,2013,1,Jan-Mar,54.0,6.6,7.2,48,22.0,100.0
K21,2013,2,Apr-Jun,50.0,5.7,7.3,20,16.0,100.0
K21,2013,3,Jul-Sep,54.0,6.5,7.5,27,22.0,100.0
K21,2013,4,Oct-Dec,57.0,5.6,7.3,71,23.0,80.0
K25,2013,1,Jan-Mar,61.0,6.0,7.3,0,0.0,60.0
K25,2013,2,Apr-Jun,60.0,6.5,7.4,0,0.0,60.0
K25,2013,3,Jul-Sep,64.0,5.7,7.5,0,0.0,60.0
K25,2013,4,Oct-Dec,65.0,4.6,7.5,0,0.0,40.0
K3,2013,1,Jan-Mar,43.0,5.2,7.3,0,0.0,60.0
K3,2013,2,Apr-Jun,52.0,5.8,7.3,0,0.0,60.0
K3,2013,3,Jul-Sep,54.0,5.5,7.5,0,0.0,60.0
K3,2013,4,Oct-Dec,54.0,5.5,7.5,0,0.0,60.0
K4,2013,1,Jan-Mar,49.0,5.9,7.3,0,0.0,60.0
K4,2013,2,Apr-Jun,48.0,6.3,7.5,0,0.0,60.0
K4,2013,3,Jul-Sep,51.0,5.6,7.6,0,0.0,60.0
K4,2013,4,Oct-Dec,52.0,5.4,7.4,0,0.0,60.0
K5,2013,1,Jan-Mar,57.0,6.5,6.9,0,0.0,60.0
