sample_id,sample_pt_desc,location,south,east
K1,"Klip River @ Lido Hotel S26.326  E27.988



","S26.326  E27.988



",S26.326,"E27.988



"
K10,"Klip River @ Everite S26.421  E28.095



","S26.421  E28.095



",S26.421,"E28.095



"
K11,"Klip River from Roodepoort @ R41 Bridge

",S26.169  E27.833,S26.169,E27.833
K14,"Klip River from Witpoortjie @ R41 Bridge



",S26.176  E27.818,S26.176,E27.818
K18,"Klip River Weir @ Henley-On- Klip




",S26.549  E28.064,S26.549,E28.064
K19,"Klip River Weir @ Redan Train Bridge




",S26.620  E27.981,S26.620,E27.981
K21,"Klip River Weir @ Zwartkopjes Farm
S26.380  E28.071



","S26.380  E28.071



",S26.380,"E28.071



"
K25,"Klip River downstream of Rietspruit Confluence
S26.454  E28.085



","S26.454  E28.085



",S26.454,"E28.085



"
K3,"Harringtonspruit @ Nancefield Industrial Area
S26.310  E27.912



","S26.310  E27.912



",S26.310,"E27.912



"
K4,"Klip River @ Olifantsvlei Sewage Works
S26.337  E27.903


",S26.337  E27.903,S26.311,"E27.912



"
K5,"Klipspruit @ Kliptown S26.290  E27.886



","S26.290  E27.886



",S26.290,"E27.886



"
K6,"Klip River @ Soweto N12 Highway
S26.295  E27.837



","S26.295  E27.837



",S26.295,"E27.837



"
E17,"Elsburgspruit @ Heidelberg Road
",S26.276  E28.202,S26.276,E28.202
E2,"Stream @ Witwatersrand Gold Mine
S26.195  E28.190



","S26.195  E28.190



",S26.195,"E28.190



"
E7,"Elsburgspruit @ Elsburg Town S26.250  E28.204



","S26.250  E28.204



",S26.250,"E28.204



"
E8,"Stream @ Elspark S26.262  E28.222



","S26.262  E28.222



",S26.262,"E28.222



"
N4,"Natalspruit from Simmer and Jack Mine
S26.240  E28.124



","S26.240  E28.124



",S26.240,"E28.124



"
N7,"Natalspruit @ Alrode S26.298  E28.144



","S26.298  E28.144



",S26.298,"E28.144



"
N8,"Natalspruit @ Heidelberg Road S26.426  E28.165



","S26.426  E28.165



",S26.426,"E28.165



"
R1,"Rietspruit from Sallies S26.305  E28.336



","S26.305  E28.336



",S26.305,"E28.336



"
R2,"Withokspruit Tributary S26.324  E28.339



","S26.324  E28.339



",S26.324,"E28.339



"
R3,"Tributary @ Van Dyk Consolidated
S26.259  E28.321

",S26.259  E28.321,"
S26.259","  E28.321

"
R4,"Rietspruit @ Vosloorus S26.372  E28.245



","S26.372  E28.245



",S26.372,"E28.245



"
R5,"Rietspruit @ Hardmans Farm S26.429  E28.181



","S26.429  E28.181



",S26.429,"E28.181



"
R6,"Rietspruit Weir @ Luttig's Farm S26.451  E28.089



","S26.451  E28.089



",S26.451,"E28.089



"
